,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
45,Nara,0,JP,1584796621,66,34.69,135.8,55.4,4.7
46,Neyshabur,52,IR,1584796622,30,36.21,58.8,66.29,15.86
47,Alice Springs,0,AU,1584796212,29,-23.7,133.88,78.8,4.7
48,North Platte,1,US,1584796425,73,41.12,-100.77,19.4,11.41
49,Nemuro,32,JP,1584796623,74,43.32,145.57,35.51,9.53
50,Kalemie,58,CD,1584796613,67,-5.95,29.19,78.71,9.42
51,Ostashkov,100,RU,1584796624,49,57.15,33.11,31.19,9.15
52,Jamestown,90,US,1584796004,68,42.1,-79.24,28.99,8.05
53,Severo-Kuril'sk,100,RU,1584796204,96,50.68,156.12,26.87,32.23
54,Carnarvon,9,AU,1584796200,78,-24.87,113.63,80.6,18.34
55,Ponta do Sol,40,PT,1584796287,45,32.67,-17.1,62.6,12.75
56,Manadhoo,79,MV,1584796626,67,5.77,73.38,84.47,6.11
57,Spartanburg,1,US,1584796626,93,34.95,-81.93,64.4,0.07
58,Bredasdorp,43,ZA,1584796231,39,-34.53,20.04,78.8,10.29
59,Kattivākkam,0,IN,1584796296,74,13.22,80.32,86.0,9.17
60,Talara,47,PE,1584796358,86,-4.58,-81.27,76.55,5.55
61,Itarema,100,BR,1584796628,81,-2.92,-39.92,82.31,1.07
62,Lorengau,74,PG,1584796202,69,-2.02,147.27,85.01,7.18
63,Lubango,90,AO,1584796629,82,-14.92,13.49,73.4,9.17
64,Cape Town,20,ZA,1584796013,56,-33.93,18.42,80.01,18.34
65,Caravelas,100,BR,1584796629,82,-17.71,-39.25,81.77,14.29
66,Batagay-Alyta,75,RU,1584796307,75,67.8,130.41,-9.85,3.0
67,Springdale,1,US,1584796630,89,36.19,-94.13,32.0,6.93
68,Vestmannaeyjar,20,IS,1584796630,74,63.44,-20.27,35.6,16.11
69,Sitka,90,US,1584796254,93,57.05,-135.33,37.4,3.91
70,Pacific Grove,90,US,1584796362,100,36.62,-121.92,51.01,14.47
71,Khovd,0,MN,1584796266,43,48.01,91.64,35.69,1.81
72,Moose Factory,1,CA,1584796632,69,51.26,-80.61,-9.4,6.93
73,Pisco,39,PE,1584796320,30,-13.7,-76.22,73.0,3.36
74,Port Blair,1,IN,1584796072,68,11.67,92.75,82.13,7.09
75,Grosuplje,20,SI,1584796633,39,45.96,14.66,64.4,4.7
76,Umluj,0,SA,1584796633,43,25.02,37.27,69.17,17.83
77,Sinnamary,37,GF,1584796197,78,5.38,-52.95,79.79,15.3
78,Helong,46,CN,1584796634,77,42.54,129.0,24.89,4.56
79,Avarua,100,CK,1584796271,83,-21.21,-159.78,78.8,5.82
80,Betong,86,TH,1584796635,69,5.77,101.07,76.19,3.24
81,Bratsk,40,RU,1584796635,91,56.13,101.61,32.0,15.66
82,Yulara,0,AU,1584796636,18,-25.24,130.99,91.4,12.75
83,Barrow,90,US,1584796219,84,71.29,-156.79,6.8,6.93
84,Khatanga,54,RU,1584796202,75,71.97,102.5,-1.21,10.29
85,Bambous Virieux,40,MU,1584796274,61,-20.34,57.76,82.4,6.93
86,Banda Aceh,52,ID,1584796637,68,5.56,95.32,78.71,4.61
87,Georgiyevka,75,KZ,1584796637,87,43.04,74.71,51.8,8.95
88,Miguelópolis,75,BR,1584796638,83,-20.18,-48.03,75.2,8.05
89,Luleå,0,SE,1584796571,71,65.58,22.15,32.0,4.7
90,Punta Arenas,90,CL,1584796224,86,-53.15,-70.92,41.0,5.82
91,Uíge,40,AO,1584796639,57,-7.61,15.06,80.6,6.93
92,Volkhov,75,RU,1584796639,23,59.93,32.34,30.99,10.38
93,Kashgar,75,CN,1584796538,13,39.45,75.98,62.6,2.24
94,Faanui,63,PF,1584796205,71,-16.48,-151.75,83.39,8.57
95,Grabouw,20,ZA,1584796640,56,-34.15,19.02,80.01,20.8
96,Upernavik,100,GL,1584796239,96,72.79,-56.15,-2.11,3.71
97,Pevek,19,RU,1584796232,87,69.7,170.31,-13.45,7.16
98,Tiksi,92,RU,1584796291,87,71.69,128.87,-9.85,12.03
99,Zarya,99,RU,1584796642,40,55.76,38.1,35.6,13.42
100,Tortolì,75,IT,1584796642,68,39.93,9.66,64.4,6.93
101,Libreville,20,GA,1584796625,66,0.39,9.45,87.8,5.82
102,Omsukchan,98,RU,1584796643,83,62.53,155.8,0.23,3.69
103,Marawi,88,PH,1584796644,85,8.0,124.29,79.0,3.0
104,Port Macquarie,55,AU,1584796644,83,-31.43,152.92,71.6,7.45
105,Hithadhoo,44,MV,1584796227,64,-0.6,73.08,84.83,3.98
106,Tabory,67,RU,1584796645,79,58.52,64.55,29.57,10.67
107,Ajdabiya,8,LY,1584796645,51,30.76,20.23,64.49,8.77
108,Shakawe,0,BW,1584796645,40,-18.37,21.85,87.17,8.66
109,Bad Dürkheim,75,DE,1584796646,81,49.47,8.17,46.99,10.29
110,Souillac,40,MU,1584796225,61,-20.52,57.52,82.4,6.93
111,Shunyi,1,CN,1584796646,29,40.12,116.65,62.01,4.47
112,Ipilan,14,PH,1584796647,87,8.84,117.9,76.37,4.0
113,Kruisfontein,0,ZA,1584796260,64,-34.0,24.73,71.69,11.5
114,Katsuura,0,JP,1584796363,51,35.13,140.3,60.8,6.93
115,Sonoita,45,MX,1584796648,62,31.85,-112.83,52.61,1.19
116,Yaan,39,NG,1584796648,27,7.38,8.57,103.91,4.05
117,Chui,1,UY,1584796222,71,-33.7,-53.46,68.09,7.23
118,Merrill,1,US,1584796649,84,45.18,-89.68,16.0,4.34
119,São João da Barra,90,BR,1584796322,88,-21.64,-41.05,77.0,11.41
120,Provideniya,83,RU,1584796230,89,64.38,-173.3,5.27,5.5
121,Bethel,1,US,1584796221,55,41.37,-73.41,42.8,14.99
122,Saint-Augustin,100,CA,1584796650,78,51.23,-58.65,27.95,27.81
123,Mariinsk,100,RU,1584796651,84,56.21,87.75,34.25,4.16
124,Sechura,42,PE,1584796651,84,-5.56,-80.82,74.21,2.91
125,Broken Hill,94,AU,1584796651,30,-31.95,141.43,71.6,2.24
126,Saint Paul Harbor,90,US,1584796224,74,57.79,-152.41,35.6,2.39
127,New Norfolk,75,AU,1584796254,93,-42.78,147.06,54.0,8.05
128,Inverell,21,AU,1584796652,61,-29.78,151.12,64.99,1.01
129,Mayo,1,US,1584796653,57,38.89,-76.51,51.01,11.41
130,Lebu,99,CL,1584796248,96,-37.62,-73.65,54.59,4.9
131,Grindavik,75,IS,1584796653,62,63.84,-22.43,33.8,27.51
132,Urengoy,0,RU,1584796654,92,65.97,78.37,2.57,7.87
133,Alvarães,44,BR,1584796654,83,-3.22,-64.8,84.2,8.05
134,Humlebæk,0,DK,1584796655,38,55.96,12.53,46.0,13.87
135,Forsytheganj,81,BY,1584796384,43,52.63,29.73,46.49,8.72
136,Bereda,75,ES,1584796655,82,43.27,-7.54,64.99,5.82
137,Leningradskiy,0,RU,1584796318,83,69.38,178.42,-12.01,3.33
138,College,40,US,1584796233,74,64.86,-147.8,30.2,5.82
139,Nouakchott,2,MR,1584796565,18,18.09,-15.98,84.2,20.8
140,Tikhvin,69,RU,1584796657,42,59.65,33.53,31.91,7.54
141,San Cristobal,75,VE,1584796657,94,7.77,-72.22,73.4,4.7
142,Hobart,75,AU,1584796225,93,-42.88,147.33,54.0,8.05
143,Palana,100,RU,1584796381,84,59.12,159.97,20.39,6.89
144,Yamada,7,JP,1584796659,74,39.47,141.95,42.89,3.67
145,Nikolskoye,75,RU,1584796216,37,59.7,30.79,33.8,6.71
146,Bulgan,16,MN,1584796660,48,48.81,103.53,29.57,5.03
147,Abonnema,75,NG,1584796660,59,4.71,6.79,91.4,6.93
148,Marsh Harbour,33,BS,1584796235,72,26.54,-77.06,73.49,11.1
149,East London,20,ZA,1584796044,64,-33.02,27.91,73.4,13.87
150,Zabid,88,YE,1584796661,56,14.2,43.32,87.17,9.26
151,Nanortalik,48,GL,1584796204,59,60.14,-45.24,21.83,5.06
152,Redlands,1,US,1584796291,76,34.06,-117.18,55.4,2.28
153,Wuda,0,CN,1584796662,24,39.5,106.71,49.55,4.56
154,Voi,31,KE,1584796662,42,-3.39,38.56,86.27,8.48
155,Cabo San Lucas,20,MX,1584795940,71,22.89,-109.91,60.01,8.05
156,Chiang Khong,20,TH,1584796663,31,20.26,100.4,87.8,8.05
157,Longyearbyen,75,SJ,1584796230,78,78.22,15.64,14.0,13.87
158,Viranşehir,54,TR,1584796664,42,37.24,39.76,57.47,3.56
159,Atuona,2,PF,1584796223,75,-9.8,-139.03,82.13,8.79
160,Muros,40,ES,1584796664,77,42.78,-9.06,59.0,2.24
161,Catuday,17,PH,1584796665,81,16.29,119.81,80.87,7.63
162,Brest,90,BY,1584796424,69,52.1,23.7,39.2,15.66
163,Iqaluit,20,CA,1584796210,69,63.75,-68.51,-13.0,18.34
164,Cockburn Town,58,TC,1584796217,73,21.46,-71.14,74.75,22.7
165,Omaruru,19,NA,1584796666,33,-21.43,15.93,85.55,9.26
166,Baykit,90,RU,1584796666,94,61.67,96.37,21.83,2.21
167,Ndélé,45,CF,1584796254,15,8.41,20.65,108.77,2.55
168,Prince Rupert,40,CA,1584796667,93,54.32,-130.32,35.6,5.82
169,Lobito,40,AO,1584796667,62,-12.35,13.55,84.2,9.17
170,Menongue,87,AO,1584796668,61,-14.66,17.69,78.17,4.41
171,Antofagasta,75,CL,1584796668,82,-23.65,-70.4,66.2,1.12
172,Ilulissat,75,GL,1584796055,78,69.22,-51.1,15.8,2.24
173,Arinos,89,BR,1584796669,80,-15.92,-46.11,76.91,4.65
174,Castro,47,BR,1584796130,75,-24.79,-50.01,67.19,6.96
175,Saint Anthony,1,US,1584796250,53,45.02,-93.22,23.0,6.93
176,Port Elizabeth,0,ZA,1584796226,50,-33.92,25.57,77.0,12.75
177,Port Lincoln,91,AU,1584796244,75,-34.73,135.87,62.33,9.64
178,Faya,40,SA,1584796348,68,18.39,42.45,66.2,11.41
179,Caceres,93,ES,1584796671,75,39.52,-6.37,53.01,5.99
180,Galesong,40,ID,1584796392,100,-5.32,119.37,75.2,10.29
181,Russell,75,US,1584796273,72,32.35,-85.2,66.2,8.05
182,Fare,78,PF,1584796672,74,-16.7,-151.02,83.21,8.75
183,Dharmanagar,23,IN,1584796672,26,24.37,92.17,79.97,5.01
184,Butaritari,82,KI,1584796212,80,3.07,172.79,83.39,15.61
185,Coquimbo,90,CL,1584796673,77,-29.95,-71.34,60.8,3.36
186,Champasak,20,LA,1584796674,38,14.75,106.0,93.2,2.24
187,Abong Mbang,78,CM,1584796674,29,3.98,13.18,98.51,1.16
188,Puerto de la Cruz,75,ES,1584796674,62,28.41,-16.55,66.2,18.34
189,Nokaneng,3,BW,1584796675,34,-19.67,22.27,88.43,11.07
190,Kendrapara,20,IN,1584796675,78,20.5,86.42,75.2,13.82
191,Acapulco de Juárez,5,MX,1584796203,88,16.86,-99.89,75.2,2.82
192,Klaksvík,100,FO,1584796256,70,62.23,-6.59,42.8,26.4
193,Alaca,99,TR,1584796677,77,40.17,34.84,37.67,2.48
194,Cidreira,32,BR,1584796296,85,-30.18,-50.21,69.35,8.43
195,Alyangula,98,AU,1584796397,100,-13.85,136.42,77.0,1.12
196,Ust-Kuyga,11,RU,1584796678,97,70.02,135.6,-13.63,3.04
197,Meulaboh,58,ID,1584796209,66,4.14,96.13,85.55,4.68
198,Burnie,91,AU,1584796678,70,-41.07,145.92,55.0,1.99
199,Sittwe,19,MM,1584796679,78,20.15,92.9,78.35,11.01
200,Dikson,100,RU,1584796210,96,73.51,80.55,-3.55,6.6
201,Coyhaique,90,CL,1584796679,87,-45.58,-72.07,55.4,10.29
202,Yasnyy,98,RU,1584796680,82,51.03,59.87,31.37,21.36
203,Mar del Plata,0,AR,1584796255,100,-38.0,-57.56,72.0,6.93
204,Bilibino,41,RU,1584796269,84,68.05,166.44,-16.51,1.72
205,Carutapera,100,BR,1584796681,82,-1.2,-46.02,79.97,14.74
206,Katangli,100,RU,1584796681,92,51.71,143.23,20.03,12.17
207,Thompson,5,CA,1584796250,69,55.74,-97.86,-11.2,4.29
208,Villazón,92,BO,1584796682,77,-22.09,-65.59,48.47,4.63
209,Ugoofaaru,89,MV,1584796682,69,5.67,73.0,84.29,6.96
210,Sept-Îles,20,CA,1584796531,61,50.2,-66.38,17.01,17.22
211,Adana Province,0,TR,1584796680,28,36.98,35.29,71.6,3.36
212,Acajutla,19,SV,1584796684,88,13.59,-89.83,73.0,11.16
213,Wattegama,20,LK,1584796684,79,6.8,81.48,84.2,6.93
214,Obo,88,CF,1584796685,17,5.4,26.49,100.31,9.78
215,Saldanha,18,ZA,1584796216,47,-33.01,17.94,77.0,12.75
216,Yining,53,CN,1584796686,89,29.04,114.56,70.25,3.24
217,Ponta Delgada,75,PT,1584796335,71,37.73,-25.67,57.2,17.22
218,Płock,75,PL,1584796520,44,52.55,19.71,44.01,14.99
219,Margate,0,GB,1584796199,56,51.38,1.39,50.0,20.8
220,Vao,54,NC,1584796337,73,-22.67,167.48,77.99,19.57
221,Sisimiut,100,GL,1584796334,96,66.94,-53.67,1.85,1.36
222,Krasnosel'kup,82,RU,1584796688,89,65.7,82.47,7.07,10.16
223,Vaini,75,TO,1584796215,94,-21.2,-175.2,77.0,8.05
224,Grand Gaube,40,MU,1584796288,61,-20.01,57.66,82.4,6.93
225,Rome,90,US,1584796439,82,34.26,-85.16,62.6,8.05
226,Huarmey,79,PE,1584796689,75,-10.07,-78.15,70.43,3.44
227,Adrar,66,MR,1584796314,24,20.5,-10.07,77.09,12.48
228,Novikovo,100,RU,1584796690,46,51.15,37.89,45.41,3.8
229,Nau,20,TJ,1584796690,67,40.15,69.37,59.0,11.18
230,Gorontalo,100,ID,1584796691,91,0.54,123.06,76.01,5.03
231,Amahai,100,ID,1584796691,89,-3.33,128.92,79.25,8.21
232,Cap Malheureux,40,MU,1584796691,61,-19.98,57.61,82.4,4.7
233,Port-Cartier,20,CA,1584796391,61,50.03,-66.87,17.01,17.22
234,Opelousas,90,US,1584796692,93,30.53,-92.08,64.4,4.7
235,Mwene-Ditu,100,CD,1584796692,84,-7.0,23.45,78.53,6.87
236,Shāhpur,0,IN,1584796693,10,16.7,76.83,97.43,7.02
237,Kalianget,57,ID,1584796693,70,-7.05,113.93,81.77,1.23
238,Nome,90,US,1584796194,97,64.5,-165.41,28.0,10.29
239,Natal'insk,99,RU,1584796694,81,56.47,57.87,31.55,11.88
240,Guerrero Negro,73,MX,1584796267,76,27.98,-114.06,57.47,14.36
241,Hailar,0,CN,1584796695,69,49.2,119.7,15.35,9.22
242,High Level,40,CA,1584796695,93,58.52,-117.14,32.0,17.22
243,San Patricio,40,MX,1584796279,78,19.22,-104.7,77.0,11.14
244,São Filipe,6,CV,1584796288,79,14.9,-24.5,69.17,14.52
245,Takoradze,48,GH,1584796696,50,4.88,-1.76,93.11,6.73
246,Slave Lake,1,CA,1584796697,84,55.28,-114.77,8.6,4.7
247,Chimoré,75,BO,1584796697,95,-16.98,-65.13,72.05,1.12
248,Le Port,90,RE,1584796697,65,-20.94,55.29,80.6,14.99
249,Tierralta,29,CO,1584796698,89,8.17,-76.06,71.15,3.13
250,Ondjiva,40,AO,1584796698,58,-17.07,15.73,84.2,9.17
251,Jenjarom,40,MY,1584796699,94,2.88,101.5,79.0,4.32
252,Altay,0,CN,1584796699,56,47.87,88.12,26.69,3.67
253,Galveston,90,US,1584796699,77,29.37,-94.97,62.01,11.41
254,Bosaso,20,SO,1584796700,88,11.28,49.18,82.4,10.29
255,Jizan,20,SA,1584796700,62,17.33,42.67,87.8,12.75
256,Nouadhibou,0,MR,1584796276,47,20.93,-17.03,77.0,18.34
257,Los Llanos de Aridane,75,ES,1584796345,49,28.66,-17.92,68.0,9.17
258,Arni,8,IN,1584796701,51,12.67,79.28,87.17,17.96
259,Demirci,0,TR,1584796701,36,39.05,28.66,60.01,25.01
260,Erenhot,0,CN,1584796258,36,43.65,111.98,40.19,5.59
261,Kjøpsvik,75,NO,1584796702,69,68.1,16.37,35.01,26.4
262,Muş Province,40,TR,1584796703,61,39.0,41.75,48.2,9.17
263,Aklavik,90,CA,1584796703,100,68.22,-135.01,26.6,2.24
264,Suntar,90,RU,1584796704,90,62.14,117.63,18.95,5.61
265,Kumla,0,SE,1584796584,30,59.13,15.14,45.0,17.22
266,Iskateley,100,RU,1584796704,86,67.68,53.15,20.75,13.04
267,Teahupoo,75,PF,1584796705,78,-17.83,-149.27,80.6,10.71
268,Prainha,100,BR,1584796367,85,-1.8,-53.48,76.73,3.98
269,Borogontsy,0,RU,1584796706,91,62.67,131.17,10.67,5.12
270,Krasnyy Chikoy,69,RU,1584796207,87,50.36,108.75,21.83,3.11
271,Port Hardy,20,CA,1584796283,86,50.7,-127.42,39.2,6.93
272,Kankakee,90,US,1584796707,68,41.15,-87.87,28.99,10.29
273,Salalah,40,OM,1584796220,78,17.02,54.09,82.4,14.99
274,Scarborough,26,GB,1584796536,65,54.28,-0.4,48.99,14.99
275,Bonthe,93,SL,1584796708,51,7.53,-12.51,89.51,7.16
276,Canutama,97,BR,1584796708,89,-6.53,-64.38,75.47,4.14
277,Tasiilaq,20,GL,1584796260,73,65.61,-37.64,23.0,2.24
278,Boyolangu,100,ID,1584796709,91,-8.12,111.89,76.91,5.64
279,Marsá Maţrūḩ,40,EG,1584796259,51,31.35,27.25,62.6,8.05
280,Zhigansk,100,RU,1584796258,88,66.77,123.37,-2.83,13.53
281,Hualmay,98,PE,1584796283,83,-11.1,-77.61,69.53,1.54
282,Kiruna,50,SE,1584796147,53,67.86,20.23,26.6,11.41
283,Pangnirtung,16,CA,1584796319,89,66.15,-65.71,-14.71,2.77
284,Departamento de Maldonado,0,UY,1584796362,93,-34.67,-54.92,64.4,2.24
285,Lompoc,90,US,1584796213,100,34.64,-120.46,52.0,2.48
286,La Santisima Trinidad,75,BO,1584796712,88,-14.83,-64.9,77.0,2.62
287,Bereket,96,TM,1584796712,52,39.24,55.52,54.23,12.3
288,Ouésso,100,CG,1584796713,97,1.61,16.05,70.79,3.36
289,Byron Bay,41,AU,1584796133,78,-28.65,153.62,73.99,9.17
290,Benguela,40,AO,1584796713,62,-12.58,13.41,84.2,9.17
291,Hokitika,51,NZ,1584796714,79,-42.72,170.97,62.33,10.6
292,Chokurdakh,43,RU,1584796226,86,70.63,147.92,-8.95,4.05
293,Tilbury,0,GB,1584796714,31,51.46,0.36,52.0,23.04
294,Jacmel,0,HT,1584796715,61,18.23,-72.53,78.8,10.29
295,Jardim,52,BR,1584796458,75,-21.48,-56.14,71.15,1.25
296,Nieuw Amsterdam,40,SR,1584796716,74,5.88,-55.08,86.0,9.17
297,Mossamedes,43,AO,1584796199,80,-15.2,12.15,74.03,11.18
298,Beringovskiy,0,RU,1584796716,88,63.05,179.32,8.51,6.6
299,Richards Bay,100,ZA,1584796400,86,-28.78,32.04,76.55,14.25
300,Tahe,42,CN,1584796717,88,52.33,124.73,15.35,4.18
301,Labuhan,100,ID,1584796238,79,-6.88,112.21,77.81,1.83
302,Linxia Chengguanzhen,82,CN,1584796718,45,35.6,103.21,46.67,7.81
303,Lagoa,75,PT,1584796404,71,39.05,-27.98,54.77,22.79
304,Khilok,99,RU,1584796292,95,51.37,110.47,23.27,4.83
305,Sabang,22,ID,1584796719,64,5.89,95.32,84.11,10.58
306,Tiznit Province,92,MA,1584796347,59,29.58,-9.5,53.69,10.83
307,Astoria,90,US,1584796719,93,46.19,-123.83,48.0,3.36
308,Skibbereen,75,IE,1584796720,81,51.55,-9.27,42.8,19.46
309,Angoche,44,MZ,1584796720,68,-16.23,39.91,84.11,8.43
310,Mahabalipuram,0,IN,1584796721,74,12.63,80.17,86.0,9.17
311,Knysna,75,ZA,1584796721,73,-34.04,23.05,69.8,10.29
312,Namatanai,74,PG,1584796211,74,-3.67,152.43,84.47,5.03
313,Kokrajhar,38,IN,1584796722,28,26.4,90.27,81.95,5.57
314,West Wendover,40,US,1584796314,92,40.74,-114.07,30.2,4.7
315,Sukhaya Buyvola,40,RU,1584796722,40,45.15,43.0,53.6,6.71
316,Vila Franca do Campo,75,PT,1584796217,71,37.72,-25.43,57.2,17.22
317,Pauini,84,BR,1584796265,82,-7.71,-66.98,77.27,2.19
318,Dali,96,CN,1584796724,45,25.7,100.18,54.41,4.27
319,Lata,75,PT,1584796724,87,40.16,-8.33,59.0,9.17
320,Yabrūd,75,SY,1584796724,71,33.97,36.66,50.0,9.17
321,Norman Wells,90,CA,1584796208,74,65.28,-126.83,33.8,18.34
322,Port Hedland,40,AU,1584796725,74,-20.32,118.57,87.8,10.29
323,Vostok,59,RU,1584796319,95,46.49,135.88,18.77,3.36
324,Yangi Marg`ilon,100,UZ,1584796363,45,40.43,71.72,62.6,16.11
325,Show Low,1,US,1584796726,68,34.25,-110.03,35.6,2.37
326,Yunyang,85,CN,1584796727,62,33.45,112.71,66.83,1.63
327,Jalu,7,LY,1584796727,15,29.03,21.55,70.97,6.46
328,Boende,100,CD,1584796728,99,-0.22,20.87,70.43,5.37
329,Yumen,88,CN,1584796728,21,40.28,97.2,55.31,15.73
330,Assiut,0,EG,1584796728,42,27.18,31.18,66.2,11.41
331,Chabahar,100,IR,1584796729,55,25.29,60.64,78.35,5.66
332,Touba,100,CI,1584796729,54,8.28,-7.68,87.53,1.52
333,Bengkulu,100,ID,1584796195,81,-3.8,102.27,77.27,1.05
334,Manggar,100,ID,1584796730,66,-2.88,108.27,83.03,6.04
335,Wisconsin Rapids,1,US,1584796730,72,44.38,-89.82,21.99,4.05
336,Itacoatiara,50,BR,1584796731,86,-3.14,-58.44,78.53,3.33
337,Maniitsoq,98,GL,1584796195,80,65.42,-52.9,11.75,5.44
338,Ignacio Zaragoza,84,MX,1584796732,35,28.38,-107.22,46.67,4.74
339,Lüderitz,0,NA,1584796199,53,-26.65,15.16,77.0,24.16
340,Mount Isa,0,AU,1584796243,49,-20.73,139.5,71.6,10.0
341,Spirovo,100,RU,1584796733,45,57.42,34.98,30.65,8.88
342,Mahalapye,20,BW,1584796734,28,-23.1,26.81,87.17,11.39
343,Oodweyne,69,SO,1584796734,40,9.41,45.06,85.55,14.88
344,Airai,100,TL,1584796256,92,-8.93,125.41,67.01,2.93
345,Ayan,95,RU,1584796735,76,56.45,138.17,15.35,6.96
346,Boddam,75,GB,1584796626,68,57.47,-1.78,44.01,17.22
347,Kutum,48,SD,1584796234,7,14.2,24.67,89.33,9.84
348,Port Augusta,40,AU,1584796736,77,-32.5,137.77,66.2,13.87
349,Galway,75,IE,1584796441,86,53.27,-9.05,41.0,8.05
350,Harrison,75,US,1584796737,82,30.41,-89.04,66.2,6.93
351,Diffa,62,NE,1584796737,7,13.32,12.61,103.01,15.48
352,Severnyy,100,RU,1584796738,45,50.68,36.55,46.4,4.47
353,Narrabri,53,AU,1584796738,55,-30.32,149.78,71.01,6.93
354,Atikokan,95,CA,1584796738,87,48.76,-91.62,9.59,2.98
355,Bacungan,20,PH,1584796739,74,9.91,118.7,84.2,6.93
356,Kavieng,80,PG,1584796290,71,-2.57,150.8,84.83,5.97
357,Qui Nhon,54,VN,1584796194,92,13.77,109.23,71.51,3.85
358,Aquiraz,75,BR,1584796309,70,-3.9,-38.39,86.0,2.24
359,Kaitangata,75,NZ,1584796246,91,-46.28,169.85,54.0,10.31
360,Dalmeny,75,CA,1584796741,85,52.33,-106.77,12.2,5.82
361,Ulaanbaatar,1,MN,1584796595,54,47.91,106.88,30.2,2.24
362,Wamba,79,NG,1584796742,30,8.93,8.6,98.87,6.24
363,Buraidah,75,SA,1584796190,24,26.33,43.98,80.6,23.04
364,Oga,40,IT,1584796743,39,46.46,10.35,48.2,1.12
365,Inverness,20,GB,1584796563,49,57.48,-4.22,46.99,2.24
366,Safford,1,US,1584796743,87,32.83,-109.71,51.01,4.7
367,Ostrowiec Świętokrzyski,100,PL,1584796744,63,50.93,21.39,43.0,4.0
368,Kachug,100,RU,1584796744,81,53.96,105.88,27.41,5.5
369,Kansk,100,RU,1584796745,79,56.2,95.72,32.63,7.7
370,São Félix do Xingu,100,BR,1584796745,87,-6.64,-51.99,75.29,1.54
371,Bilma,74,NE,1584796323,6,18.69,12.92,99.23,10.45
372,Arrondissement de Chartres,90,FR,1584796683,81,48.42,1.5,48.2,16.11
